Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
ABCC9	Dilated cardiomyopathy 1O	AD	608569	Cardiac and vascular disorders	BabySeq_GroupB	Limited-Illumina; Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
ABCC9	Hypertrichotic osteochondrodysplasia	AD	239850	Cardiac and vascular disorders	BabySeq_GroupA	Definitive-G2P; Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
ACAD8	Deficiency of isobutyryl-CoA dehydrogenase	AR	611283	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-ClinGen
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency	AR	201450	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ACOX1	Acyl-CoA oxidase deficiency	AR	264470	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
ACSF3	Combined malonic and methylmalonic acidemia	AR	614265	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
ACTC1	Dilated cardiomyopathy 1R	AD	613424	Cardiac and vascular disorders	BabySeq_GroupB	Strong-Labcorp Genetics (formerly Invitae)
ALDH5A1	Succinate-semialdehyde dehydrogenase deficiency	AR	271980	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ALS2	Amyotrophic lateral sclerosis type 2, juvenile	AR	205100	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Genomics England PanelApp
ANO5	Autosomal recessive limb-girdle muscular dystrophy type 2L	AR	611307	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Limited-G2P; Strong-Labcorp Genetics (formerly Invitae)
ARFGEF2	Periventricular heterotopia with microcephaly, autosomal recessive	AR	608097	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	BabySeq_GroupA	Strong-G2P;Labcorp Genetics (formerly Invitae);ClinGen
ODAD2	Primary ciliary dyskinesia 23	AR	615451	Respiratory system disorders	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ATM	Ataxia-telangiectasia syndrome	AR	208900	Tumor predisposition syndromes	BabySeq_GroupA	Definitive-G2P;Ambry Genetics;Laboratory for Molecular Medicine;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ATP1A2	Migraine, familial hemiplegic, 2	AD	602481	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P
ATP8B1	Progressive familial intrahepatic cholestasis type 1	AR	211600	Gastrointestinal disorders	BabySeq_GroupA	Definitive-G2P;Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
AVPR2	Diabetes insipidus, nephrogenic, X-linked	XLR	304800	Endocrine disorders	BabySeq_GroupA	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
BAAT	Bile acid conjugation defect 1	AR	619232	Inherited disorders of metabolism	BabySeq_GroupA	Limited-Ambry Genetics
BAG3	Dilated cardiomyopathy 1HH	AD	613881	Cardiac and vascular disorders	BabySeq_GroupB	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
BBS10	Bardet-Biedl syndrome 10	AR	615987	Complex genetic syndromes	BabySeq_GroupA	Definitive-G2P;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
BBS12	Bardet-Biedl syndrome 12	AR	615989	Complex genetic syndromes	BabySeq_GroupA	Definitive-G2P;Ambry Genetics;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
BCKDHA	Maple syrup urine disease type 1A	AR	248600	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;Myriad Women’s Health;ClinGen; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
BCKDHB	Maple syrup urine disease type 1B	AR	620698	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;Myriad Women’s Health;ClinGen
BMPR2	Pulmonary hypertension, primary, 1	AD	178600	Respiratory system disorders	BabySeq_GroupB	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine
CA2	Osteopetrosis with renal tubular acidosis	AR	259730	Renal disorders	BabySeq_GroupA	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CAPN3	Autosomal recessive limb-girdle muscular dystrophy type 2A	AR	253600	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
CCDC39	Primary ciliary dyskinesia 14	AR	613807	Respiratory system disorders	BabySeq_GroupA	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
CCDC40	Primary ciliary dyskinesia 15	AR	613808	Respiratory system disorders	BabySeq_GroupA	Definitive-G2P;Ambry Genetics;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae);Laboratory for Molecular Medicine
CDAN1	Anemia, congenital dyserythropoietic, type 1a	AR	224120	Haematological disorders	BabySeq_GroupA	Limited-Genomics England PanelApp; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CHRNA1	Congenital myasthenic syndrome 1A	Multipleand/orcomplexpattern	601462	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CLCN5	Dent disease type 1	XLR	300009	Renal disorders	BabySeq_GroupA	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CLN6	Ceroid lipofuscinosis, neuronal, 6A	AR	601780	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P;Myriad Women’s Health
COL11A1	Stickler syndrome type 2	AD	604841	Complex genetic syndromes	BabySeq_GroupA	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-G2P
COL2A1	Stickler syndrome type 1	AD	108300	Complex genetic syndromes	BabySeq_GroupA	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-Illumina;ClinGen
