Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
AK2	Reticular dysgenesis	AR	267500	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ALDH7A1	Epilepsy, pyridoxine-dependent	AR	266100	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
ALDOB	Fructose intolerance, hereditary	AR	229600	Inherited disorders of metabolism	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;Myriad Women’s Health
ALPL	Hypophosphatasia, childhood	AR	241510	Skeletal, skin, and connective tissue disorders	BabyScreen+	Definitive-Laboratory for Molecular Medicine
ALPL	Hypophosphatasia, infantile	AR	241500	Skeletal, skin, and connective tissue disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
AMACR	Bile acid synthesis defect, congenital, 4	AR	214950	Gastrointestinal disorders	BabyScreen+	
AMN	Megaloblastic anemia-1, Norwegian type	AR	618882	Haematological disorders	BabyScreen+	
AP3B1	Hermansky-Pudlak syndrome 2	AR	608233	Eye disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
AQP2	Diabetes insipidus, nephrogenic, 2	Multipleand/orcomplexpattern	125800	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
ARG1	Arginase deficiency	AR	207800	Inherited disorders of metabolism	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;Myriad Women’s Health;ClinGen
ARPC1B	Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia	AR	617718	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
ARSA	Metachromatic leukodystrophy	AR	250100	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ARSB	Mucopolysaccharidosis VI (MPS6)	AR	253200	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Illumina;ClinGen; Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ASL	Argininosuccinic aciduria	AR	207900	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ASS1	Citrullinaemia	AR	215700	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ATP7A	Menkes disease	XLR	309400	Neuromuscular and musculoskeletal disorders;Inherited disorders of metabolism	BabyScreen+	Definitive-Ambry Genetics;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ATP7B	Wilson disease	AR	277900	Inherited disorders of metabolism	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
AVP	Diabetes insipidus, neurohypophyseal	AD	125700	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
AVPR2	Diabetes insipidus, nephrogenic	XLR	304800	Endocrine disorders	BabyScreen+	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
BCKDHA	Maple syrup urine disease, type Ia	AR	248600	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Myriad Women’s Health;ClinGen; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
BCKDHB	Maple syrup urine disease, type Ib	AR	248600	Inherited disorders of metabolism	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
BCKDK	Branched-chain keto acid dehydrogenase kinase deficiency	AR	614923	Inherited disorders of metabolism	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-ClinGen
BLNK	Agammaglobulinemia 4	AR	613502	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
BRCA2	Fanconi anaemia, complementation group D1	AR	605724	Tumor predisposition syndromes	BabyScreen+	Definitive-Ambry Genetics;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
BRIP1	Fanconi anaemia, complementation group J	AR	609054	Tumor predisposition syndromes	BabyScreen+	Definitive-G2P;ClinGen; Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
BSCL2	Lipodystrophy, congenital generalized, type 2; Berardinelli-Seip lipodystrophy	AR	269700	Complex genetic syndromes	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P
BSND	Bartter syndrome, type 4a	AR	602522	Renal disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
BTD	Biotinidase deficiency	AR	253260	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
BTK	Agammaglobulinemia, X-linked 1	XLR	300755	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-Myriad Women’s Health;ClinGen
C2	C2 deficiency	AR	217000	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics
C3	C3 deficiency	AR	613779	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
C5	C5 deficiency	AR	609536	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
C6	C6 deficiency	AR	612446	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics
C7	C7 deficiency	AR	610102	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae);Illumina
C8B	C8 deficiency, type II	AR	613789	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
C9	C9 deficiency	AR	613825	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Laboratory for Molecular Medicine;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CA2	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	AR	259730	Renal disorders	BabyScreen+	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CA5A	Hyperammonaemia due to carbonic anhydrase VA deficiency	AR	615751	Inherited disorders of metabolism	BabyScreen+	Strong-G2P;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-ClinGen
CACNA1S	Malignant hyperthermia susceptibility 5	AD	601887	Neuromuscular and musculoskeletal disorders	BabyScreen+	Moderate-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CAD	Developmental and epileptic encephalopathy 50	AR	616457	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	BabyScreen+	Moderate-Illumina; Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
CALM3	Long QT syndrome 16	AD	618782	Cardiac and vascular disorders	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CARD11	Immunodeficiency 11A, autosomal recessive	AR	615206	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-ClinGen
CARD11	Immunodeficiency 11B with atopic dermatitis, autosomal dominant	AD	617638	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-ClinGen
CASR	Hypocalcemia, autosomal dominant	AD	601198	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-Illumina;ClinGen
CASR	Hyperparathyroidism, neonatal	Multipleand/orcomplexpattern	239200	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CAV1	Lipodystrophy, congenital generalized, type 3	AR	612526	Complex genetic syndromes	BabyScreen+	Limited-G2P; Moderate-Ambry Genetics
CAVIN1	Lipodystrophy, congenital generalized, type 4	AR	613327	Complex genetic syndromes	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics
CD247	Immunodeficiency 25	AR	610163	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Limited-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CD27	CD27-deficiency	AR	615122	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CD3D	Immunodeficiency 19	AR	615617	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CD3E	Immunodeficiency 18	AR	615615	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CD40	Immunodeficiency with hyper-IgM, type 3	AR	606843	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CD40LG	Immunodeficiency, X-linked, with hyper-IgM	XLR	308230	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CD70	Lymphoproliferative syndrome 3	AR	618261	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CD79A	Agammaglobulinaemia 3	AR	613501	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-ClinGen
CD79B	Agammaglobulinaemia 6	AR	612692	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-ClinGen
CDCA7	Immunodeficiency-centromeric instability-facial anomalies syndrome 3	AR	616910	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Limited-ClinGen
CDH23	Usher syndrome, type 1D	AR	601067	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
CDH23	Usher syndrome, type 1D/F digenic	AR	601386	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
CDKN1C	IMAGe syndrome	AD	614732	Complex genetic syndromes	BabyScreen+	Moderate-Ambry Genetics;Illumina; Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
CEBPE	Specific granule deficiency	AR	245480	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CFD	Complement factor D deficiency	AR	613912	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Limited-Ambry Genetics
CFH	Complement factor I deficiency	AR	609814	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CFI	Complement factor I deficiency	AR	610984	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CFP	Properdin deficiency, X-linked	XLR	312060	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CFTR	Cystic fibrosis	AR	219700	Respiratory system disorders	BabyScreen+	Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
CHAT	Congenital myasthenic syndrome	AR	254210	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRNA1	Myasthenic syndrome, congenital, 1A, slow-channel	AR	601462	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRNA1	Myasthenic syndrome, congenital, 1B, fast-channel	AR	608930	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CIB2	Deafness, autosomal recessive 48	AR	609439	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;G2P;Labcorp Genetics (formerly Invitae)
CIITA	Bare Lymphocyte Syndrome, type II, complementation group A	AR	209920	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CLCN7	Osteopetrosis, autosomal recessive 4	AR	611490	Skeletal, skin, and connective tissue disorders	BabyScreen+	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CLDN14	Deafness, autosomal recessive 29	AR	614035	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
CLPP	Perrault syndrome 3	AR	614129	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae);G2P; Definitive-ClinGen
COL11A1	Stickler syndrome, type II	AD	604841	Complex genetic syndromes	BabyScreen+	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-G2P
COL11A2	Deafness, autosomal recessive 53	AR	609706	Complex genetic syndromes	BabyScreen+	Moderate-PanelApp Australia;Ambry Genetics; Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
COL13A1	Myasthenic syndrome, congenital, 19	AR	616720	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae);G2P
COL1A1	Osteogenesis imperfecta, type I	AD	166200	Skeletal, skin, and connective tissue disorders	BabyScreen+	Definitive-ClinGen
COL1A2	Osteogenesis imperfecta, type II	AD	166210	Skeletal, skin, and connective tissue disorders	BabyScreen+	Definitive-G2P;ClinGen
COL2A1	Stickler syndrome, type I	AD	108300	Complex genetic syndromes	BabyScreen+	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-Illumina;ClinGen
COL4A3	Alport syndrome 2, autosomal recessive	AR	203780	Renal disorders	BabyScreen+	Strong-Genomics England PanelApp;Laboratory for Molecular Medicine;Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
COL4A4	Alport syndrome 2, autosomal recessive	AR	203780	Renal disorders	BabyScreen+	Definitive-G2P;Ambry Genetics;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
COL4A5	Alport syndrome 1, X-linked	XLD	301050	Renal disorders	BabyScreen+	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
COL9A1	Stickler syndrome, type IV	AR	614134	Complex genetic syndromes	BabyScreen+	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P; Moderate-Ambry Genetics
COLQ	Congenital myasthenic syndrome	AR	603034	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
COQ2	Coenzyme Q10 deficiency, primary, 1	AR	607426	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
COQ4	Coenzyme Q10 deficiency, primary, 7	AR	616276	Inherited disorders of metabolism	BabyScreen+	Strong-G2P;Labcorp Genetics (formerly Invitae)
COQ6	Coenzyme Q10 deficiency, primary, 6	AR	614650	Inherited disorders of metabolism	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
COQ8A	Coenzyme Q10 deficiency, primary, 4	AR	612016	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P
CORO1A	Immunodeficiency 8	AR	615401	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CPS1	Carbamoylphosphate synthetase I deficiency	AR	237300	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
CPT1A	Carnitine palmitoyltransferase I deficiency	AR	255120	Inherited disorders of metabolism	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CPT2	CPT II deficiency, infantile; CPT II deficiency, lethal neonatal	AR	600649	Inherited disorders of metabolism	BabyScreen+	Strong-PanelApp Australia
CPT2	CPT II deficiency, lethal neonatal	AR	608836	Inherited disorders of metabolism	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
CPT2	CPT II deficiency, myopathic, stress-induced	AR	255110	Inherited disorders of metabolism	BabyScreen+	Strong-PanelApp Australia
CRTAP	Osteogenesis imperfecta, type VII	AR	610682	Skeletal, skin, and connective tissue disorders	BabyScreen+	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
CSF3R	Neutropenia, severe congenital, 7, autosomal recessive	AR	617014	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
CTNS	Cystinosis, nephropathic	AR	219800	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp
CTPS1	Immunodeficiency 24	AR	615897	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CUBN	Megaloblastic anaemia-1, Finnish type	AR	261100	Haematological disorders	BabyScreen+	Definitive-Ambry Genetics;Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
CUL3	Pseudohypoaldosteronism, type IIE	AD	614496	Endocrine disorders	BabyScreen+	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
CXCR4	WHIM syndrome 1	AD	193670	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
CYBA	Chronic granulomatous disease	AR	233690	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
CYBB	Chronic granulomatous disease	XLR	306400	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
CYP11A1	Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete	AR	613743	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CYP11B1	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency	AR	202010	Endocrine disorders	BabyScreen+	Definitive-Ambry Genetics;Myriad Women’s Health; Strong-Labcorp Genetics (formerly Invitae)
CYP11B2	Hypoaldosteronism, congenital, due to CMO I deficiency	AR	203400	Endocrine disorders	BabyScreen+	Moderate-Ambry Genetics
CYP11B2	Hypoaldosteronism, congenital, due to CMO II deficiency	AR	610600	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CYP17A1	17,20-lyase deficiency, isolated	AR	202110	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
CYP21A2	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	AR	201910	Endocrine disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health
CYP27A1	Cerebrotendinous xanthomatosis	AR	213700	Inherited disorders of metabolism	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;Myriad Women’s Health
CYP27B1	Vitamin D-dependent rickets, type I	AR	264700	Skeletal, skin, and connective tissue disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae)
DCLRE1C	Severe combined immunodeficiency, Athabascan type	AR	602450	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
DCLRE1C	Omenn syndrome	AR	603554	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Limited-Ambry Genetics; Definitive-G2P
DDC	Aromatic L-amino acid decarboxylase deficiency	AR	608643	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
DGAT1	Diarrhea 7, protein-losing enteropathy type	AR	615863	Gastrointestinal disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Limited-G2P
DHCR7	Smith-Lemli-Opitz syndrome	AR	270400	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Laboratory for Molecular Medicine;Myriad Women’s Health;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
DHFR	Megaloblastic anaemia due to dihydrofolate reductase deficiency	AR	613839	Haematological disorders	BabyScreen+	Definitive-G2P; Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
DLAT	Pyruvate dehydrogenase E2 deficiency	AR	245348	Inherited disorders of metabolism;Neurodevelopmental, neurodegenerative, and neurogenetic disorders	BabyScreen+	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
DMP1	Hypophosphatemic rickets	AR	241520	Skeletal, skin, and connective tissue disorders	BabyScreen+	Definitive-G2P; Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
DNAJC21	Bone marrow failure syndrome 3	AR	617052	Haematological disorders;Skeletal, skin, and connective tissue disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
DNMT3B	Immunodeficiency-centromeric instability-facial anomalies syndrome 1	AR	242860	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Definitive-G2P;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae);ClinGen
DOCK2	Immunodeficiency 40	AR	616433	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;ClinGen
DOCK8	Hyper-IgE syndrome	AR	243700	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Limited-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-ClinGen
DOK7	Congenital myasthenic syndrome	AR	254300	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
DPAGT1	Congenital disorder of glycosylation, type Ij	AR	608093	Neuromuscular and musculoskeletal disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae);PanelApp Australia; Definitive-G2P
DPAGT1	Myasthenic syndrome, congenital, 13, with tubular aggregates	AR	614750	Neuromuscular and musculoskeletal disorders	BabyScreen+	Definitive-G2P; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
DUOX2	Thyroid dyshormonogenesis 6	AR	607200	Endocrine disorders	BabyScreen+	Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
DUOXA2	Thyroid dyshormonogenesis 5	AR	274900	Endocrine disorders	BabyScreen+	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
ECHS1	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	AR	616277	Inherited disorders of metabolism	BabyScreen+	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae);Ambry Genetics; Moderate-Ambry Genetics; Definitive-G2P;ClinGen
EDN3	Waardenburg syndrome, type 4B	AR	613265	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics;ClinGen; Limited-Labcorp Genetics (formerly Invitae);ClinGen; Definitive-G2P
EDNRB	Waardenburg syndrome, type 4A	Multipleand/orcomplexpattern	277580	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics;ClinGen; Definitive-G2P; Limited-ClinGen
EFL1	Shwachman-Diamond syndrome 2	AR	617941	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	Moderate-Ambry Genetics
EIF2AK3	Wolcott-Rallison syndrome	AR	226980	Complex genetic syndromes	BabyScreen+	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ELANE	Neutropenia, congenital	AD	202700	Autoimmune, inflammatory, and immunogenetic disorders	BabyScreen+	
ENG	Telangiectasia, hereditary hemorrhagic, type 1	AD	187300	Cardiac and vascular disorders	BabyScreen+	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
ENPP1	Arterial calcification, generalized, of infancy, 1	AR	208000	Cardiac and vascular disorders	BabyScreen+	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
ERCC4	Fanconi anemia, complementation group Q	AR	615272	Tumor predisposition syndromes	BabyScreen+	Strong-G2P;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
ESPN	Deafness, autosomal recessive 36	AR	609006	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Limited-PanelApp Australia;Ambry Genetics; Moderate-Ambry Genetics; Definitive-G2P
ESRRB	Deafness, autosomal recessive 35	AR	608565	Hearing disorders	BabyScreen+	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-G2P
ETFA	Glutaric acidemia IIA	AR	231680	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ETFB	Glutaric acidemia IIB	AR	231680	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ETFDH	Glutaric acidemia IIC	AR	231680	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P;Ambry Genetics;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ETHE1	Ethylmalonic encephalopathy	AR	602473	Inherited disorders of metabolism	BabyScreen+	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
F10	Factor X deficiency	AR	227600	Haematological disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;ClinGen
F13A1	Factor XIIIA deficiency	AR	613225	Haematological disorders	BabyScreen+	Definitive-Laboratory for Molecular Medicine;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
F13B	Factor XIIIB deficiency	AR	613235	Haematological disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics; Definitive-ClinGen
F7	Factor VII deficiency	AR	227500	Haematological disorders	BabyScreen+	Definitive-Laboratory for Molecular Medicine;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
F9	Haemophilia B	XLR	306900	Haematological disorders	BabyScreen+	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
